legends-of-the-middle-ages.txt,
0.0033597130,
0.0002750210,
0.0105255960,
0.0023452590,
0.0001487450,
0.0060152590,
0.0018818070,
0.0002424880,
0.0068636150,

myths-of-greece-and-rome.txt
0.0030083950,
0.0003440180,
0.0129355680,
0.0025662600,
0.0001866740,
0.0069072930,
0.0021911400,
0.0002688400,
0.0083391180,



myths-of-the-norse-men.txt
0.0020483640,
0.0002381880,
0.0100472520,
0.0016465800,
0.0001439020,
0.0049285420,
0.0012542960,
0.0001973340,
0.0062233280,



stories-of-the-wagner-opera.txt
0.0007187390,
0.0000814130,
0.0029232170,
0.0006139000,
0.0000480640,
0.0016115230,
0.0004501930,
0.0000590800,
0.0019669820,



story-of-the-greeks.txt
0.0013234370,
0.0001554710,
0.0062230680,
0.0011631770,
0.0000907930,
0.0030747900,
0.0007993770,
0.0001175580,
0.0036902650,



